date,price
2020-03-31,44.175747
2020-04-01,42.184696
2020-04-02,42.822224
2020-04-03,41.792374
2020-04-06,44.901546
2020-04-07,46.098137
2020-04-08,48.354000
2020-04-09,50.433319
2020-04-13,49.325008
2020-04-14,49.962532
2020-04-15,47.667431
2020-04-16,47.392807
2020-04-17,49.295578
2020-04-20,48.079376
2020-04-21,46.892593
2020-04-22,47.814556
2020-04-23,48.148029
2020-04-24,48.903255
2020-04-27,50.207733
2020-04-28,51.139507
2020-04-29,52.443989
2020-04-30,50.884495
2020-05-01,49.815407
2020-05-04,49.991959
2020-05-05,50.119457
2020-05-06,49.256351
2020-05-07,50.266582
2020-05-08,51.472980
2020-05-11,50.688332
2020-05-12,49.913490
2020-05-13,48.864025
2020-05-14,49.462318
2020-05-15,49.893875
2020-05-18,52.169353
2020-05-19,51.669144
2020-05-20,52.493027
2020-05-21,51.992813
2020-05-22,51.914345
2020-05-26,53.336529
2020-05-27,53.875973
2020-05-28,54.376183
2020-05-29,54.385994
2020-06-01,54.758701
2020-06-02,55.749317
2020-06-03,57.014568
2020-06-04,57.220539
2020-06-05,58.681946
2020-06-08,58.760410
2020-06-09,58.044422
2020-06-10,57.387272
2020-06-11,52.954014
2020-06-12,53.983860
2020-06-15,54.552727
2020-06-16,55.690472
2020-06-17,55.229488
2020-06-18,55.268723
2020-06-19,55.101986
2020-06-22,55.306129
2020-06-23,55.434334
2020-06-24,53.816967
2020-06-25,54.487579
2020-06-26,53.738068
2020-06-29,54.783443
2020-06-30,55.572399
2020-07-01,55.690746
2020-07-02,56.736115
2020-07-06,57.544804
2020-07-07,57.564522
2020-07-08,56.745979
2020-07-09,56.213432
2020-07-10,57.189774
2020-07-13,57.189774
2020-07-14,58.629623
2020-07-15,59.615826
2020-07-16,59.813065
2020-07-17,60.316025
2020-07-20,59.793343
2020-07-21,60.316025
2020-07-22,61.016228
2020-07-23,60.828854
2020-07-24,60.621750
2020-07-27,61.499466
2020-07-28,60.148373
2020-07-29,60.641472
2020-07-30,59.467892
2020-07-31,59.527069
2020-08-03,59.191757
2020-08-04,60.030025
2020-08-05,60.907742
2020-08-06,60.651333
2020-08-07,60.858437
2020-08-10,61.450161
2020-08-11,61.341675
2020-08-12,61.706570
2020-08-13,61.696709
2020-08-14,61.765739
2020-08-17,62.041878
2020-08-18,61.785465
2020-08-19,61.607948
2020-08-20,61.390984
2020-08-21,61.035950
2020-08-24,62.110909
2020-08-25,61.864357
2020-08-26,62.515255
2020-08-27,62.347599
2020-08-28,63.087250
2020-08-31,62.120773
2020-09-01,63.866348
2020-09-02,65.316071
2020-09-03,63.511314
2020-09-04,63.550762
2020-09-08,62.357460
2020-09-09,63.964970
2020-09-10,63.363384
2020-09-11,64.172073
2020-09-14,65.099098
2020-09-15,65.414688
2020-09-16,65.463989
2020-09-17,65.947235
2020-09-18,64.813103
2020-09-21,62.631260
2020-09-22,62.750164
2020-09-23,60.907192
2020-09-24,61.343163
2020-09-25,61.888126
2020-09-28,62.888882
2020-09-29,62.423183
2020-09-30,63.057323
2020-10-01,62.165565
2020-10-02,62.720436
2020-10-05,63.919361
2020-10-06,63.116776
2020-10-07,64.741753
2020-10-08,65.395721
2020-10-09,65.901047
2020-10-12,65.792053
2020-10-13,65.207458
2020-10-14,65.395721
2020-10-15,65.207458
2020-10-16,65.663239
2020-10-19,64.900299
2020-10-20,65.048920
2020-10-21,64.801216
2020-10-22,65.157913
2020-10-23,65.395721
2020-10-26,63.760822
2020-10-27,63.156410
2020-10-28,61.372887
2020-10-29,62.641171
2020-10-30,62.601536
2020-11-02,64.682304
2020-11-03,65.692970
2020-11-04,64.573318
2020-11-05,67.208961
2020-11-06,67.377403
2020-11-09,68.893394
2020-11-10,69.705887
2020-11-11,68.665504
2020-11-12,67.218864
2020-11-13,68.378159
2020-11-16,69.725708
2020-11-17,69.468079
2020-11-18,68.893394
2020-11-19,69.180740
2020-11-20,69.121292
2020-11-23,69.695976
2020-11-24,71.429955
2020-11-25,70.686821
2020-11-27,71.053436
2020-11-30,70.340027
2020-12-01,71.112885
2020-12-02,70.201309
2020-12-03,69.715797
2020-12-04,71.122795
2020-12-07,70.657097
2020-12-08,71.053436
2020-12-09,71.093071
2020-12-10,70.657097
2020-12-11,70.250854
2020-12-14,69.359093
2020-12-15,70.617462
2020-12-16,70.419296
2020-12-17,71.231789
2020-12-18,71.548859
2020-12-21,71.169464
2020-12-22,70.731308
2020-12-23,70.830887
2020-12-24,71.278999
2020-12-28,71.000175
2020-12-29,70.830887
2020-12-30,71.806770
2020-12-31,72.085594
2021-01-04,71.398491
2021-01-05,73.001724
2021-01-06,75.989105
2021-01-07,76.556709
2021-01-08,76.188271
2021-01-11,76.188271
2021-01-12,77.154190
2021-01-13,76.367516
2021-01-14,76.108604
2021-01-15,75.023186
2021-01-19,75.282089
