date,price
2020-03-31,43.909760
2020-04-01,42.162895
2020-04-02,42.698868
2020-04-03,41.835361
2020-04-06,44.594608
2020-04-07,44.922142
2020-04-08,45.884903
2020-04-09,46.222366
2020-04-13,46.291843
2020-04-14,47.661541
2020-04-15,47.214901
2020-04-16,47.403481
2020-04-17,48.048630
2020-04-20,47.611916
2020-04-21,46.113186
2020-04-22,47.353851
2020-04-23,47.691319
2020-04-24,48.296764
2020-04-27,48.693779
2020-04-28,47.810421
2020-04-29,50.123028
2020-04-30,49.904671
2020-05-01,49.209900
2020-05-04,49.497726
2020-05-05,49.755787
2020-05-06,49.616837
2020-05-07,50.549816
2020-05-08,51.472881
2020-05-11,51.502651
2020-05-12,50.500195
2020-05-13,49.636681
2020-05-14,50.172657
2020-05-15,50.867432
2020-05-18,51.939365
2020-05-19,51.929440
2020-05-20,53.368622
2020-05-21,52.991455
2020-05-22,53.309071
2020-05-26,53.457947
2020-05-27,53.835110
2020-05-28,53.328918
2020-05-29,53.616756
2020-06-01,54.232121
2020-06-02,54.450485
2020-06-03,54.619213
2020-06-04,54.212276
2020-06-05,55.095627
2020-06-08,56.127865
2020-06-09,55.988911
2020-06-10,55.820183
2020-06-11,53.249516
2020-06-12,53.716007
2020-06-15,54.579514
2020-06-16,55.026150
2020-06-17,55.095627
2020-06-18,55.274284
2020-06-19,55.125408
2020-06-22,55.246738
2020-06-23,55.604774
2020-06-24,54.351654
2020-06-25,54.590343
2020-06-26,52.183556
2020-06-29,53.148254
2020-06-30,53.744984
2020-07-01,55.077663
2020-07-02,54.898651
2020-07-06,56.002590
2020-07-07,55.843464
2020-07-08,56.340736
2020-07-09,56.410355
2020-07-10,57.385006
2020-07-13,56.231335
2020-07-14,56.788273
2020-07-15,57.126419
2020-07-16,57.225876
2020-07-17,57.096584
2020-07-20,57.782818
2020-07-21,57.504345
2020-07-22,57.564022
2020-07-23,56.629150
2020-07-24,56.539639
2020-07-27,56.927513
2020-07-28,56.340736
2020-07-29,56.857891
2020-07-30,57.017025
2020-07-31,57.812656
2020-08-03,57.862385
2020-08-04,58.230362
2020-08-05,58.140850
2020-08-06,59.672443
2020-08-07,59.602829
2020-08-10,59.403915
2020-08-11,58.518780
2020-08-12,59.214954
2020-08-13,59.513321
2020-08-14,59.503376
2020-08-17,59.572994
2020-08-18,60.110043
2020-08-19,59.940975
2020-08-20,60.686878
2020-08-21,60.418354
2020-08-24,61.154312
2020-08-25,61.731144
2020-08-26,63.839573
2020-08-27,63.063828
2020-08-28,63.213013
2020-08-31,62.914646
2020-09-01,63.431808
2020-09-02,64.784378
2020-09-03,62.586452
2020-09-04,61.442726
2020-09-08,59.821625
2020-09-09,60.537697
2020-09-10,59.642609
2020-09-11,59.453648
2020-09-14,59.682392
2020-09-15,60.746552
2020-09-16,60.090149
2020-09-17,58.986210
2020-09-18,58.419327
2020-09-21,57.735626
2020-09-22,58.851868
2020-09-23,57.446602
2020-09-24,57.556232
2020-09-25,58.323650
2020-09-28,59.101028
2020-09-29,59.160828
2020-09-30,59.200695
2020-10-01,60.047844
