date,price
2020-03-31,27.562679
2020-04-01,26.196875
2020-04-02,28.596516
2020-04-03,28.293003
2020-04-06,29.791594
2020-04-07,30.427074
2020-04-08,32.456814
2020-04-09,32.162785
2020-04-13,32.058449
2020-04-14,31.906694
2020-04-15,30.408104
2020-04-16,29.108694
2020-04-17,32.200722
2020-04-20,31.195335
2020-04-21,30.645222
2020-04-22,31.735968
2020-04-23,32.760319
2020-04-24,32.836197
2020-04-27,33.547554
2020-04-28,34.315819
2020-04-29,36.857731
2020-04-30,36.042046
2020-05-01,34.002819
2020-05-04,35.178932
2020-05-05,35.207386
2020-05-06,34.287369
2020-05-07,35.178932
2020-05-08,36.781853
2020-05-11,36.136890
2020-05-12,35.501411
2020-05-13,33.889004
2020-05-14,34.268394
2020-05-15,34.135609
2020-05-18,36.924126
2020-05-19,35.890289
2020-05-20,37.322483
2020-05-21,36.724945
2020-05-22,36.497311
2020-05-26,37.512177
2020-05-27,37.995903
2020-05-28,36.933609
2020-05-29,36.762882
2020-06-01,37.407845
2020-06-02,38.451168
2020-06-03,39.579857
2020-06-04,39.589344
2020-06-05,42.529610
2020-06-08,44.445530
2020-06-09,42.776215
2020-06-10,40.670601
2020-06-11,36.838768
2020-06-12,37.768265
2020-06-15,37.882084
2020-06-16,38.972832
2020-06-17,37.644966
2020-06-18,38.109718
2020-06-19,37.531147
2020-06-22,37.705021
2020-06-23,37.743450
2020-06-24,35.649258
2020-06-25,36.331314
2020-06-26,35.072872
2020-06-29,35.543591
2020-06-30,36.360130
2020-07-01,35.476345
2020-07-02,35.870209
2020-07-06,35.975880
2020-07-07,34.832714
2020-07-08,34.803898
2020-07-09,33.084354
2020-07-10,34.141060
2020-07-13,33.958538
2020-07-14,35.149731
2020-07-15,35.908634
2020-07-16,35.745323
2020-07-17,35.245789
2020-07-20,34.659805
2020-07-21,36.753990
2020-07-22,36.302494
2020-07-23,36.235249
2020-07-24,36.033512
2020-07-27,36.071941
2020-07-28,35.457134
2020-07-29,36.196823
2020-07-30,34.775085
2020-07-31,34.611771
2020-08-03,34.736652
2020-08-04,35.582012
2020-08-05,35.956665
2020-08-06,35.668476
2020-08-07,35.716503
2020-08-10,36.821239
2020-08-11,36.696358
2020-08-12,37.061398
2020-08-13,36.340916
2020-08-14,36.686745
2020-08-17,36.475407
2020-08-18,36.014305
2020-08-19,35.601231
2020-08-20,34.832714
2020-08-21,34.611771
2020-08-24,35.562805
2020-08-25,35.063271
2020-08-26,34.323578
2020-08-27,34.390823
2020-08-28,35.005630
2020-08-31,34.246731
2020-09-01,34.016174
2020-09-02,33.852871
2020-09-03,33.603100
2020-09-04,33.497433
2020-09-08,32.277416
2020-09-09,32.498371
2020-09-10,31.307178
2020-09-11,31.335995
2020-09-14,31.576157
2020-09-15,31.345604
2020-09-16,32.604038
2020-09-17,32.652069
2020-09-18,32.287029
2020-09-21,31.216848
2020-09-22,30.894621
2020-09-23,29.498308
2020-09-24,29.488546
2020-09-25,29.469017
2020-09-28,30.162291
2020-09-29,29.332315
2020-09-30,29.244436
2020-10-01,28.346109
2020-10-02,28.619513
2020-10-05,29.478781
2020-10-06,29.039381
2020-10-07,29.449488
2020-10-08,30.552868
2020-10-09,30.064648
2020-10-12,30.142761
2020-10-13,29.674068
2020-10-14,29.801008
2020-10-15,30.162291
2020-10-16,29.478781
2020-10-19,28.853857
2020-10-20,29.195612
2020-10-21,28.639040
2020-10-22,29.820538
2020-10-23,29.674068
2020-10-26,28.609747
2020-10-27,28.238699
2020-10-28,27.057205
2020-10-29,27.887180
2020-10-30,28.043411
2020-11-02,29.000326
2020-11-03,28.834330
2020-11-04,28.873386
2020-11-05,28.873386
2020-11-06,28.248465
2020-11-09,32.281170
2020-11-10,33.325962
2020-11-11,32.984207
2020-11-12,31.919884
2020-11-13,33.081852
2020-11-16,35.259319
2020-11-17,35.620602
2020-11-18,34.585571
2020-11-19,35.151905
2020-11-20,34.966385
2020-11-23,37.436783
2020-11-24,39.360374
2020-11-25,38.442516
2020-11-27,37.993355
2020-11-30,35.894001
2020-12-01,36.060001
2020-12-02,37.231731
2020-12-03,37.622303
2020-12-04,39.672836
2020-12-07,38.745213
2020-12-08,39.321316
2020-12-09,39.409195
2020-12-10,40.619984
2020-12-11,40.151287
2020-12-14,38.745213
2020-12-15,39.506840
2020-12-16,39.311550
2020-12-17,39.126026
2020-12-18,38.471813
2020-12-21,37.729687
2020-12-22,37.096405
2020-12-23,37.917690
2020-12-24,37.719788
2020-12-28,37.482311
2020-12-29,37.234936
2020-12-30,37.818741
2020-12-31,37.502102
2021-01-04,37.561470
2021-01-05,39.243622
2021-01-06,40.440918
2021-01-07,41.034618
2021-01-08,40.985142
2021-01-11,41.628319
2021-01-12,43.082886
2021-01-13,42.746456
2021-01-14,44.013016
2021-01-15,42.301182
2021-01-19,43.152153
2021-01-20,43.310471
2021-01-21,41.846012
2021-01-22,41.628319
2021-01-25,41.202835
2021-01-26,40.322178
2021-01-27,39.777954
2021-01-28,40.243015
2021-01-29,38.907192
2021-02-01,39.184250
2021-02-02,39.609737
2021-02-03,41.301785
2021-02-04,41.756954
2021-02-05,42.113178
2021-02-08,43.874489
2021-02-09,43.409420
2021-02-10,44.240601
2021-02-11,43.557846
2021-02-12,44.201019
2021-02-16,45.309265
2021-02-17,45.982128
2021-02-18,44.943146
2021-02-19,45.695171
2021-02-22,47.278370
2021-02-23,48.060078
2021-02-24,49.762020
2021-02-25,48.802204
2021-02-26,47.644489
2021-03-01,48.881367
2021-03-02,48.614201
2021-03-03,49.326637
2021-03-04,50.504147
2021-03-05,52.394093
2021-03-08,52.493042
2021-03-09,51.572807
2021-03-10,52.878948
2021-03-11,52.898739
2021-03-12,53.007584
2021-03-15,52.403988
2021-03-16,50.909843
2021-03-17,51.305641
2021-03-18,49.000103
2021-03-19,49.009998
2021-03-22,48.540001
