date,price
2020-03-31,20.374788
2020-04-01,19.131945
2020-04-02,19.611469
2020-04-03,19.220022
2020-04-06,20.599871
2020-04-07,20.805380
2020-04-08,21.715494
2020-04-09,22.880045
2020-04-13,22.048223
2020-04-14,22.146084
2020-04-15,21.187040
2020-04-16,20.815166
2020-04-17,21.911215
2020-04-20,21.529556
2020-04-21,20.834742
2020-04-22,21.059824
2020-04-23,20.971745
2020-04-24,21.275118
2020-04-27,21.999292
2020-04-28,22.234159
2020-04-29,22.880045
2020-04-30,22.302664
2020-05-01,21.588274
2020-05-04,21.392551
2020-05-05,21.324047
2020-05-06,20.864096
2020-05-07,21.353407
2020-05-08,21.813356
2020-05-11,21.392551
2020-05-12,20.834742
2020-05-13,20.218212
2020-05-14,20.736877
2020-05-15,20.599871
2020-05-18,21.656775
2020-05-19,21.128325
2020-05-20,21.598059
2020-05-21,21.529556
2020-05-22,21.451267
2020-05-26,22.566891
2020-05-27,23.545507
2020-05-28,23.173630
2020-05-29,22.909407
2020-06-01,23.173630
2020-06-02,23.359570
2020-06-03,24.230537
2020-06-04,24.758991
2020-06-05,25.678890
2020-06-08,26.168196
2020-06-09,25.610388
2020-06-10,24.651342
2020-06-11,22.635393
2020-06-12,23.320425
2020-06-15,23.643366
2020-06-16,24.015242
2020-06-17,23.653154
2020-06-18,23.623795
2020-06-19,23.467215
2020-06-22,23.351004
2020-06-23,23.459337
2020-06-24,22.632055
2020-06-25,23.232821
2020-06-26,22.238111
2020-06-29,22.484327
2020-06-30,22.789631
2020-07-01,22.592663
2020-07-02,22.622208
2020-07-06,23.055544
2020-07-07,22.582815
2020-07-08,22.819178
2020-07-09,22.336599
2020-07-10,23.104788
2020-07-13,23.203274
2020-07-14,23.321459
2020-07-15,23.784342
2020-07-16,23.784342
2020-07-17,23.587370
2020-07-20,23.479034
2020-07-21,23.941917
2020-07-22,23.941917
2020-07-23,23.961615
2020-07-24,23.902525
2020-07-27,23.705551
2020-07-28,23.646461
2020-07-29,24.089645
2020-07-30,23.656311
2020-07-31,23.666159
2020-08-03,23.735098
2020-08-04,23.636612
2020-08-05,23.961615
2020-08-06,23.951765
2020-08-07,24.463894
2020-08-10,24.641169
2020-08-11,24.926777
2020-08-12,24.857838
2020-08-13,24.700260
2020-08-14,24.798746
2020-08-17,24.385103
2020-08-18,24.227528
2020-08-19,24.217678
2020-08-20,23.991161
2020-08-21,23.941917
2020-08-24,24.513136
2020-08-25,24.582077
2020-08-26,24.463894
2020-08-27,24.877535
2020-08-28,24.976023
2020-08-31,24.680563
2020-09-01,24.749502
2020-09-02,25.104052
2020-09-03,24.719957
2020-09-04,24.907082
2020-09-08,24.266922
2020-09-09,24.513136
2020-09-10,24.168436
2020-09-11,24.335861
2020-09-14,24.670713
2020-09-15,24.335861
2020-09-16,24.611622
2020-09-17,24.355558
2020-09-18,24.306316
2020-09-21,23.697298
2020-09-22,23.499243
2020-09-23,22.974398
2020-09-24,23.023909
2020-09-25,23.261576
2020-09-28,23.816128
2020-09-29,23.519047
2020-09-30,23.835936
2020-10-01,23.875547
2020-10-02,24.063698
2020-10-05,24.459810
2020-10-06,24.212242
2020-10-07,24.618254
2020-10-08,24.954948
2020-10-09,24.984653
2020-10-12,25.261934
2020-10-13,24.776697
