date,price
2020-03-31,58.101799
2020-04-01,55.482742
2020-04-02,56.221199
2020-04-03,55.472897
2020-04-06,59.312874
2020-04-07,59.175026
2020-04-08,61.321476
2020-04-09,62.247013
2020-04-13,60.425480
2020-04-14,61.577480
2020-04-15,59.874100
2020-04-16,59.342411
2020-04-17,62.128853
2020-04-20,60.474709
2020-04-21,59.047031
2020-04-22,59.667332
2020-04-23,60.139946
2020-04-24,60.622402
2020-04-27,62.128853
2020-04-28,63.290695
2020-04-29,64.501762
2020-04-30,63.221771
2020-05-01,61.311634
2020-05-04,60.533791
2020-05-05,60.770096
2020-05-06,59.933178
2020-05-07,60.632252
2020-05-08,62.138702
2020-05-11,61.360859
2020-05-12,59.637791
2020-05-13,58.141190
2020-05-14,58.751644
2020-05-15,58.544876
2020-05-18,62.404545
2020-05-19,61.607014
2020-05-20,62.759007
2020-05-21,62.906696
2020-05-22,62.857468
2020-05-26,65.496223
2020-05-27,67.682053
2020-05-28,67.042046
2020-05-29,66.628517
2020-06-01,66.776215
2020-06-02,67.642662
2020-06-03,70.281418
2020-06-04,71.029732
2020-06-05,73.638939
2020-06-08,75.115860
2020-06-09,73.245102
2020-06-10,71.492493
2020-06-11,66.470985
2020-06-12,67.760826
2020-06-15,68.430367
2020-06-16,69.769432
2020-06-17,69.267265
2020-06-18,69.011269
2020-06-19,68.164513
2020-06-22,68.279236
2020-06-23,68.289124
2020-06-24,65.915565
2020-06-25,66.647415
2020-06-26,65.411186
2020-06-29,67.557281
2020-06-30,67.942978
2020-07-01,67.636391
2020-07-02,68.219894
2020-07-06,69.198982
2020-07-07,67.873749
2020-07-08,67.873749
2020-07-09,66.400169
2020-07-10,67.260582
2020-07-13,67.537506
2020-07-14,69.001183
2020-07-15,70.761581
2020-07-16,70.781357
2020-07-17,71.206619
2020-07-20,70.336319
2020-07-21,71.265945
2020-07-22,71.839561
2020-07-23,71.621986
2020-07-24,71.048378
2020-07-27,71.345070
2020-07-28,70.850578
2020-07-29,71.928574
2020-07-30,71.206619
2020-07-31,70.939598
2020-08-03,71.236282
2020-08-04,71.414299
2020-08-05,72.779083
2020-08-06,73.056015
2020-08-07,74.302124
2020-08-10,76.131752
2020-08-11,76.537224
2020-08-12,76.784462
2020-08-13,76.378990
2020-08-14,76.675674
2020-08-17,76.319641
2020-08-18,75.904266
2020-08-19,75.706482
2020-08-20,75.301003
2020-08-21,75.607582
2020-08-24,76.972374
2020-08-25,76.873482
2020-08-26,76.913033
2020-08-27,77.189949
2020-08-28,77.921799
2020-08-31,76.952591
2020-09-01,77.733879
2020-09-02,79.019562
2020-09-03,76.804245
2020-09-04,76.982262
2020-09-08,75.538353
2020-09-09,76.705345
2020-09-10,75.726257
2020-09-11,76.754791
2020-09-14,77.793228
2020-09-15,77.842674
2020-09-16,78.633865
2020-09-17,78.792091
2020-09-18,77.911911
2020-09-21,75.325600
2020-09-22,76.070221
2020-09-23,74.710052
2020-09-24,74.819260
2020-09-25,75.941147
2020-09-28,77.311249
2020-09-29,76.626198
2020-09-30,76.427643
2020-10-01,76.199280
2020-10-02,77.053108
2020-10-05,78.294144
2020-10-06,77.341034
2020-10-07,79.048691
2020-10-08,79.833023
2020-10-09,80.130875
2020-10-12,80.587570
2020-10-13,79.694023
2020-10-14,80.140800
2020-10-15,80.428719
2020-10-16,81.014481
2020-10-19,80.011726
2020-10-20,80.428719
2020-10-21,79.614609
2020-10-22,80.269859
2020-10-23,80.587570
2020-10-26,78.572136
2020-10-27,76.854553
2020-10-28,74.332771
2020-10-29,75.414955
2020-10-30,75.325600
2020-11-02,77.360893
2020-11-03,79.644386
2020-11-04,78.820343
2020-11-05,80.676933
2020-11-06,80.756340
2020-11-09,83.506470
2020-11-10,84.975853
2020-11-11,84.261024
2020-11-12,83.297981
2020-11-13,85.144638
2020-11-16,87.219635
2020-11-17,86.991295
2020-11-18,86.604095
2020-11-19,86.822502
2020-11-20,86.038185
2020-11-23,87.477776
2020-11-24,89.006721
2020-11-25,88.331604
2020-11-27,88.182678
2020-11-30,87.398346
2020-12-01,87.179916
2020-12-02,87.299065
2020-12-03,87.527420
2020-12-04,88.569878
2020-12-07,88.142960
2020-12-08,88.569878
2020-12-09,88.768448
2020-12-10,87.924545
2020-12-11,88.133034
2020-12-14,86.991295
2020-12-15,88.202530
2020-12-16,87.656479
2020-12-17,88.192604
2020-12-18,88.202530
2020-12-21,87.670174
2020-12-22,87.261429
2020-12-23,87.720016
2020-12-24,87.729988
2020-12-28,87.839653
2020-12-29,87.311279
2020-12-30,87.869560
2020-12-31,88.278305
2021-01-04,86.144867
2021-01-05,86.992256
2021-01-06,89.065872
2021-01-07,89.554375
2021-01-08,89.335045
2021-01-11,89.305138
2021-01-12,90.192413
2021-01-13,89.414803
2021-01-14,89.723854
2021-01-15,88.557442
2021-01-19,88.846550
2021-01-20,89.394859
2021-01-21,88.697014
2021-01-22,88.238426
2021-01-25,87.640266
2021-01-26,86.832748
2021-01-27,85.108063
2021-01-28,86.374161
2021-01-29,84.509895
2021-02-01,85.387199
2021-02-02,87.201614
2021-02-03,87.261429
2021-02-04,88.198547
2021-02-05,88.716949
2021-02-08,89.474617
2021-02-09,89.703918
2021-02-10,89.564339
2021-02-11,89.374924
2021-02-12,90.022934
2021-02-16,89.933205
2021-02-17,89.683975
2021-02-18,89.235359
2021-02-19,90.700844
2021-02-22,90.989952
2021-02-23,91.269096
2021-02-24,92.993782
2021-02-25,91.279060
2021-02-26,90.331978
2021-03-01,92.644859
2021-03-02,92.375694
2021-03-03,92.475388
2021-03-04,90.999924
2021-03-05,93.153297
2021-03-08,94.130287
2021-03-09,93.741486
2021-03-10,95.127220
2021-03-11,95.197006
2021-03-12,96.473076
2021-03-15,97.280594
2021-03-16,95.894859
2021-03-17,97.001457
2021-03-18,96.911728
2021-03-19,96.173996
2021-03-22,96.120003
2021-03-23,94.440002
2021-03-24,95.129997
2021-03-25,96.650002
2021-03-26,98.320000
2021-03-29,98.339996
2021-03-30,98.769997
