date,price
2020-03-31,79.618080
2020-04-01,75.823914
2020-04-02,77.597168
2020-04-03,76.398491
2020-04-06,82.916931
2020-04-07,82.173950
2020-04-08,84.383087
2020-04-09,84.402885
2020-04-13,84.591125
2020-04-14,88.137627
2020-04-15,86.215767
2020-04-16,87.265854
2020-04-17,88.424911
2020-04-20,87.008286
2020-04-21,83.362724
2020-04-22,86.572403
2020-04-23,85.978020
2020-04-24,87.800812
2020-04-27,88.553703
2020-04-28,87.374832
2020-04-29,90.960968
2020-04-30,90.554802
2020-05-01,88.068283
2020-05-04,89.237236
2020-05-05,90.465645
2020-05-06,91.168999
2020-05-07,92.536095
2020-05-08,93.893265
2020-05-11,94.517380
2020-05-12,92.565804
2020-05-13,90.970871
2020-05-14,92.129913
2020-05-15,92.595528
2020-05-18,94.864105
2020-05-19,94.517380
2020-05-20,96.587822
2020-05-21,95.240540
2020-05-22,95.587257
2020-05-26,95.488205
2020-05-27,96.033066
2020-05-28,95.844833
2020-05-29,97.053429
2020-06-01,97.023705
2020-06-02,97.935089
2020-06-03,98.697891
2020-06-04,97.885567
2020-06-05,100.461243
2020-06-08,100.966461
2020-06-09,101.441978
2020-06-10,103.135979
2020-06-11,97.221832
2020-06-12,98.479950
2020-06-15,99.430969
2020-06-16,101.550949
2020-06-17,101.531136
2020-06-18,101.986832
2020-06-19,101.283470
2020-06-22,103.191742
2020-06-23,103.936768
2020-06-24,101.592407
2020-06-25,102.893738
2020-06-26,100.867256
2020-06-29,101.969894
2020-06-30,103.797707
2020-07-01,103.966583
2020-07-02,104.572533
2020-07-06,106.400352
2020-07-07,105.287766
2020-07-08,107.006302
2020-07-09,107.393723
2020-07-10,107.363922
2020-07-13,105.138763
2020-07-14,106.350670
2020-07-15,106.926834
2020-07-16,105.605652
2020-07-17,106.122200
2020-07-20,108.834106
2020-07-21,107.741402
2020-07-22,108.605644
2020-07-23,105.784454
2020-07-24,104.503006
2020-07-27,106.152000
2020-07-28,104.910286
2020-07-29,106.430145
2020-07-30,107.026169
2020-07-31,109.698349
2020-08-03,112.400337
2020-08-04,112.688408
2020-08-05,113.105621
2020-08-06,114.695023
2020-08-07,112.986412
2020-08-10,112.668533
2020-08-11,110.642052
2020-08-12,113.155296
2020-08-13,113.204964
2020-08-14,113.125488
2020-08-17,113.880455
2020-08-18,114.307610
2020-08-19,114.168533
2020-08-20,115.688400
2020-08-21,117.158600
2020-08-24,118.171837
2020-08-25,118.767853
2020-08-26,121.181755
2020-08-27,121.281090
2020-08-28,122.344009
2020-08-31,122.731422
2020-09-01,125.075790
2020-09-02,126.188362
2020-09-03,118.996338
2020-09-04,117.337410
2020-09-08,112.032776
2020-09-09,115.688400
2020-09-10,113.075829
2020-09-11,112.211594
2020-09-14,114.565887
2020-09-15,115.698334
2020-09-16,113.910263
2020-09-17,112.966553
2020-09-18,111.019547
2020-09-21,111.942436
2020-09-22,113.714561
2020-09-23,110.170319
2020-09-24,110.787567
2020-09-25,113.435799
2020-09-28,115.606155
2020-09-29,115.217880
2020-09-30,116.183578
2020-10-01,117.408142
2020-10-02,114.431374
2020-10-05,116.940216
2020-10-06,115.128273
2020-10-07,117.238899
2020-10-08,117.846199
2020-10-09,119.648186
2020-10-12,122.913673
2020-10-13,122.127159
2020-10-14,121.480034
2020-10-15,120.932480
2020-10-16,120.584023
2020-10-19,118.373848
2020-10-20,118.782036
2020-10-21,118.602821
2020-10-22,118.045311
2020-10-23,117.915894
2020-10-26,115.357254
2020-10-27,115.934692
2020-10-28,111.016548
2020-10-29,112.868324
2020-10-30,110.369431
2020-11-02,110.648186
2020-11-03,112.599510
2020-11-04,116.980042
2020-11-05,120.613892
2020-11-06,121.041992
2020-11-09,120.165878
2020-11-10,117.925835
2020-11-11,120.723412
2020-11-12,119.648186
2020-11-13,120.663666
2020-11-16,121.828499
2020-11-17,121.151505
2020-11-18,119.857254
2020-11-19,120.822960
2020-11-20,119.578491
2020-11-23,119.548630
2020-11-24,121.211235
2020-11-25,121.470085
2020-11-27,122.117210
2020-11-30,122.933586
2020-12-01,124.506584
2020-12-02,124.317429
2020-12-03,124.237785
2020-12-04,125.482254
2020-12-07,125.840660
2020-12-08,126.248840
2020-12-09,123.829590
2020-12-10,124.008804
2020-12-11,123.749954
2020-12-14,124.197960
2020-12-15,126.268753
2020-12-16,127.124954
2020-12-17,128.130478
2020-12-18,127.682472
2020-12-21,127.810204
2020-12-22,128.917862
2020-12-23,127.939934
2020-12-24,128.788132
2020-12-28,130.245071
2020-12-29,129.626358
2020-12-30,129.556519
2020-12-31,129.746124
2021-01-04,127.630585
2021-01-05,128.458832
2021-01-06,126.243507
2021-01-07,129.646317
2021-01-08,130.484543
2021-01-11,129.406830
2021-01-12,128.788132
2021-01-13,129.606415
2021-01-14,128.468811
2021-01-15,127.151588
2021-01-19,128.808090
2021-01-20,131.362701
2021-01-21,133.059113
2021-01-22,132.550201
2021-01-25,133.657852
2021-01-26,133.747665
2021-01-27,131.222992
2021-01-28,131.761856
2021-01-29,128.658401
2021-02-01,131.881607
2021-02-02,133.667831
2021-02-03,133.208817
2021-02-04,135.334320
2021-02-05,135.034958
2021-02-08,136.451965
2021-02-09,136.292297
2021-02-10,136.092728
2021-02-11,137.589569
2021-02-12,138.298065
2021-02-16,137.849014
2021-02-17,136.631577
2021-02-18,135.962997
2021-02-19,135.763412
2021-02-22,132.769730
2021-02-23,132.400497
2021-02-24,134.426239
2021-02-25,129.726151
2021-02-26,130.414703
2021-03-01,134.615829
2021-03-02,132.480331
2021-03-03,129.147369
2021-03-04,126.293404
2021-03-05,128.678360
2021-03-08,125.564941
2021-03-09,129.835922
2021-03-10,129.317017
2021-03-11,132.081192
