date,price
2020-03-31,52.996235
2020-04-01,52.101120
2020-04-02,53.434059
2020-04-03,53.852425
2020-04-06,55.856686
2020-04-07,55.214546
2020-04-08,56.031815
2020-04-09,56.557205
2020-04-13,56.138844
2020-04-14,58.522556
2020-04-15,57.598255
2020-04-16,57.977707
2020-04-17,58.863083
2020-04-20,57.705284
2020-04-21,56.479370
2020-04-22,57.024220
2020-04-23,56.518288
2020-04-24,57.121513
2020-04-27,57.286919
2020-04-28,57.607983
2020-04-29,57.364750
2020-04-30,56.683689
2020-05-01,56.061001
2020-05-04,56.031815
2020-05-05,56.080467
2020-05-06,55.467510
2020-05-07,55.311836
2020-05-08,56.547478
2020-05-11,56.469643
2020-05-12,55.992897
2020-05-13,55.486965
2020-05-14,55.350758
2020-05-15,55.837231
2020-05-18,56.722610
2020-05-19,55.681557
2020-05-20,56.343159
2020-05-21,55.720478
2020-05-22,55.915066
2020-05-26,56.216679
2020-05-27,57.063137
2020-05-28,57.569065
2020-05-29,57.627445
2020-06-01,58.026356
2020-06-02,58.182022
2020-06-03,58.259857
2020-06-04,57.977707
2020-06-05,58.785248
2020-06-08,59.417656
2020-06-09,58.931190
2020-06-10,58.765785
2020-06-11,56.537750
2020-06-12,56.547478
2020-06-15,57.199356
2020-06-16,58.094456
2020-06-17,58.006893
2020-06-18,58.308506
2020-06-19,58.006893
2020-06-22,57.841187
2020-06-23,57.752941
2020-06-24,56.782219
2020-06-25,57.184235
2020-06-26,56.017410
2020-06-29,57.076374
2020-06-30,57.498001
2020-07-01,57.547028
2020-07-02,57.841187
2020-07-06,58.125538
2020-07-07,58.655022
2020-07-08,58.507942
2020-07-09,58.047096
2020-07-10,59.115871
2020-07-13,59.027622
2020-07-14,59.890484
2020-07-15,59.939514
2020-07-16,60.066978
2020-07-17,60.390549
2020-07-20,59.782627
2020-07-21,60.302303
2020-07-22,60.782764
2020-07-23,60.998478
2020-07-24,60.920036
2020-07-27,61.223995
2020-07-28,61.449516
2020-07-29,61.537766
2020-07-30,61.537766
2020-07-31,61.478935
2020-08-03,61.312244
2020-08-04,62.077057
2020-08-05,61.949589
2020-08-06,61.939777
2020-08-07,62.273159
2020-08-10,62.596733
2020-08-11,62.165306
2020-08-12,62.969334
2020-08-13,62.920307
2020-08-14,62.910503
2020-08-17,63.263485
2020-08-18,63.518425
2020-08-19,63.018356
2020-08-20,62.890888
2020-08-21,63.047779
2020-08-24,63.587063
2020-08-25,63.449787
2020-08-26,63.528233
2020-08-27,63.920444
2020-08-28,64.489143
2020-08-31,64.302849
2020-09-01,64.371483
2020-09-02,65.538307
2020-09-03,64.410706
2020-09-04,64.263626
2020-09-08,62.910503
2020-09-09,63.822388
2020-09-10,63.037971
2020-09-11,63.390961
2020-09-14,63.802780
2020-09-15,63.714542
2020-09-16,63.430183
2020-09-17,63.028168
2020-09-18,62.449657
2020-09-21,61.973244
2020-09-22,62.338196
2020-09-23,61.401150
2020-09-24,61.854877
2020-09-25,62.180374
2020-09-28,62.880695
2020-09-29,62.466423
2020-09-30,63.225918
2020-10-01,63.581013
2020-10-02,63.225918
2020-10-05,63.650055
2020-10-06,63.235786
2020-10-07,63.916378
2020-10-08,64.340515
2020-10-09,64.843552
2020-10-12,65.593193
2020-10-13,65.543877
2020-10-14,65.208519
2020-10-15,65.247971
2020-10-16,65.267693
2020-10-19,64.419418
2020-10-20,64.350380
2020-10-21,64.409561
2020-10-22,64.379967
2020-10-23,64.498329
2020-10-26,63.669785
2020-10-27,63.502102
2020-10-28,61.647739
2020-10-29,61.628010
2020-10-30,61.411011
2020-11-02,62.387512
2020-11-03,63.413334
2020-11-04,63.442924
2020-11-05,63.906513
2020-11-06,64.202423
2020-11-09,64.054466
2020-11-10,65.317017
2020-11-11,65.879242
2020-11-12,65.701698
2020-11-13,66.609146
2020-11-16,67.220695
2020-11-17,66.747238
2020-11-18,65.829918
2020-11-19,66.007462
2020-11-20,65.593193
2020-11-23,65.612923
2020-11-24,66.056786
2020-11-25,66.017326
2020-11-27,66.007462
2020-11-30,65.997604
2020-12-01,66.579559
2020-12-02,66.027199
2020-12-03,66.194878
2020-12-04,66.707787
2020-12-07,66.451340
2020-12-08,66.816284
2020-12-09,66.549973
2020-12-10,66.254059
2020-12-11,66.402016
2020-12-14,66.145554
2020-12-15,66.303383
2020-12-16,66.431602
2020-12-17,66.855736
2020-12-18,67.003693
2020-12-21,66.281601
2020-12-22,65.814125
2020-12-23,66.032944
2020-12-24,66.361176
2020-12-28,66.888321
2020-12-29,66.689400
2020-12-30,66.619774
2020-12-31,67.087242
2021-01-04,66.361176
2021-01-05,66.361176
2021-01-06,66.410896
2021-01-07,66.211975
2021-01-08,66.540207
2021-01-11,65.973274
2021-01-12,65.754456
2021-01-13,65.853912
2021-01-14,65.505798
2021-01-15,65.277031
2021-01-19,64.988586
2021-01-20,65.107948
2021-01-21,64.889130
2021-01-22,64.720047
2021-01-25,65.366554
2021-01-26,65.953377
2021-01-27,64.839401
2021-01-28,65.088058
2021-01-29,63.745312
2021-02-01,63.804996
2021-02-02,64.232681
2021-02-03,64.332146
2021-02-04,64.799614
2021-02-05,65.406334
2021-02-08,65.654991
2021-02-09,65.595306
2021-02-10,65.525688
2021-02-11,65.237244
2021-02-12,65.336716
2021-02-16,65.217354
2021-02-17,65.456062
2021-02-18,65.416275
2021-02-19,64.590744
2021-02-22,64.650421
2021-02-23,64.739937
2021-02-24,64.700157
2021-02-25,63.993969
2021-02-26,62.959564
2021-03-01,63.596123
2021-03-02,63.486717
2021-03-03,63.188328
2021-03-04,62.959564
2021-03-05,64.352036
2021-03-08,64.630531
2021-03-09,64.570847
2021-03-10,65.416275
2021-03-11,65.257141
2021-03-12,65.794235
2021-03-15,66.082680
2021-03-16,66.162247
2021-03-17,66.062782
2021-03-18,65.794235
2021-03-19,66.022995
2021-03-22,66.720001
2021-03-23,67.000000
2021-03-24,66.739998
2021-03-25,67.389999
2021-03-26,68.580002
2021-03-29,69.269997
2021-03-30,68.529999
