date,price
2020-03-31,29.889668
2020-04-01,28.077005
2020-04-02,28.491604
2020-04-03,28.250557
2020-04-06,30.294626
2020-04-07,30.304268
2020-04-08,32.579739
2020-04-09,34.257416
2020-04-13,32.685799
2020-04-14,33.775326
2020-04-15,32.473679
2020-04-16,32.261559
2020-04-17,33.302879
2020-04-20,32.068722
2020-04-21,31.596275
2020-04-22,32.145859
2020-04-23,31.779465
2020-04-24,31.895172
2020-04-27,32.820786
2020-04-28,32.849709
2020-04-29,32.936489
2020-04-30,32.705082
2020-05-01,31.702333
2020-05-04,31.683052
2020-05-05,31.885527
2020-05-06,31.297375
2020-05-07,31.576992
2020-05-08,32.155495
2020-05-11,31.769823
2020-05-12,30.419968
2020-05-13,29.937878
2020-05-14,29.976446
2020-05-15,29.870384
2020-05-18,31.326300
2020-05-19,30.718868
2020-05-20,31.008120
2020-05-21,30.853853
2020-05-22,31.528780
2020-05-26,32.531532
2020-05-27,33.225742
2020-05-28,33.601772
2020-05-29,33.408936
2020-06-01,34.074223
2020-06-02,34.295986
2020-06-03,35.115540
2020-06-04,34.459900
2020-06-05,35.722977
2020-06-08,36.503963
2020-06-09,36.079720
2020-06-10,35.404797
2020-06-11,33.216103
2020-06-12,34.267063
2020-06-15,34.700943
2020-06-16,35.279453
2020-06-17,34.864853
2020-06-18,34.430969
2020-06-19,34.083866
2020-06-22,33.986706
2020-06-23,33.860394
2020-06-24,32.995667
2020-06-25,33.345448
2020-06-26,32.772202
2020-06-29,33.335728
2020-06-30,33.821533
2020-07-01,34.744556
2020-07-02,34.627964
2020-07-06,34.666828
2020-07-07,34.103298
2020-07-08,34.083870
2020-07-09,33.967274
2020-07-10,34.006138
2020-07-13,33.471756
2020-07-14,33.802097
2020-07-15,33.957558
2020-07-16,33.559196
2020-07-17,34.025570
2020-07-20,33.704937
2020-07-21,33.714657
2020-07-22,34.122726
2020-07-23,33.947842
2020-07-24,33.811813
2020-07-27,34.210175
2020-07-28,34.900009
2020-07-29,35.560703
2020-07-30,35.269218
2020-07-31,35.230354
2020-08-03,34.666828
2020-08-04,35.181774
2020-08-05,34.919441
2020-08-06,34.987453
2020-08-07,35.463543
2020-08-10,35.405247
2020-08-11,34.725124
2020-08-12,35.162342
2020-08-13,34.754272
2020-08-14,34.841713
2020-08-17,35.152626
2020-08-18,35.113762
2020-08-19,34.394783
2020-08-20,34.763988
2020-08-21,34.880581
2020-08-24,34.929161
2020-08-25,35.036037
2020-08-26,34.793137
2020-08-27,35.259506
2020-08-28,35.531555
2020-08-31,35.220642
2020-09-01,35.162342
2020-09-02,35.949345
2020-09-03,35.346951
2020-09-04,35.220642
2020-09-08,34.773705
2020-09-09,35.152626
2020-09-10,34.657108
2020-09-11,34.540520
2020-09-14,35.385815
