date,price
2020-03-31,53.625660
2020-04-01,50.402897
2020-04-02,51.980408
2020-04-03,50.122231
2020-04-06,53.993427
2020-04-07,53.315968
2020-04-08,56.219357
2020-04-09,58.871124
2020-04-13,57.003273
2020-04-14,58.677563
2020-04-15,56.741970
2020-04-16,56.751648
2020-04-17,58.580784
2020-04-20,56.364529
2020-04-21,55.435444
2020-04-22,57.051666
2020-04-23,56.093548
2020-04-24,56.441952
2020-04-27,57.032310
2020-04-28,57.245228
2020-04-29,56.722614
2020-04-30,55.416080
2020-05-01,54.080524
2020-05-04,54.487003
2020-05-05,54.932186
2020-05-06,53.064335
2020-05-07,53.277256
2020-05-08,54.351509
2020-05-11,54.119232
2020-05-12,53.645016
2020-05-13,53.190151
2020-05-14,53.761150
2020-05-15,53.044983
2020-05-18,55.222527
2020-05-19,54.312798
2020-05-20,54.612816
2020-05-21,54.061172
2020-05-22,54.661205
2020-05-26,55.019287
2020-05-27,55.677391
2020-05-28,57.322647
2020-05-29,57.767834
2020-06-01,58.454971
2020-06-02,58.832413
2020-06-03,59.538906
2020-06-04,58.474323
2020-06-05,59.219528
2020-06-08,60.806717
2020-06-09,59.587296
2020-06-10,59.238884
2020-06-11,56.925850
2020-06-12,56.780678
2020-06-15,57.167801
2020-06-16,57.429108
2020-06-17,57.254902
2020-06-18,57.245228
2020-06-19,55.638680
2020-06-22,56.181267
2020-06-23,55.615261
2020-06-24,55.107800
2020-06-25,54.424686
2020-06-26,53.848915
2020-06-29,54.863834
2020-06-30,55.068768
2020-07-01,56.356922
2020-07-02,56.503311
2020-07-06,55.810432
2020-07-07,55.585979
2020-07-08,56.083679
2020-07-09,55.332253
2020-07-10,56.376442
2020-07-13,56.434998
2020-07-14,56.961971
2020-07-15,56.737514
2020-07-16,57.459667
2020-07-17,58.757584
2020-07-20,57.986641
2020-07-21,58.250126
2020-07-22,59.147934
2020-07-23,59.216244
2020-07-24,58.825893
2020-07-27,58.113506
2020-07-28,58.991795
2020-07-29,59.265041
2020-07-30,59.265041
2020-07-31,59.362629
2020-08-03,58.718544
2020-08-04,59.362629
2020-08-05,58.601440
2020-08-06,58.943001
2020-08-07,60.006706
2020-08-10,59.987194
2020-08-11,58.689274
2020-08-12,59.538280
2020-08-13,59.440697
2020-08-14,58.923481
2020-08-17,58.845413
2020-08-18,58.581924
2020-08-19,58.406265
2020-08-20,57.889053
2020-08-21,57.986641
2020-08-24,58.494091
2020-08-25,57.937847
2020-08-26,57.293766
2020-08-27,57.479187
2020-08-28,57.645084
2020-08-31,57.820740
2020-09-01,57.157143
2020-09-02,58.933243
2020-09-03,58.269646
2020-09-04,57.937847
2020-09-08,57.615807
2020-09-09,58.376991
2020-09-10,57.371841
2020-09-11,57.508461
2020-09-14,58.298923
2020-09-15,58.689274
2020-09-16,58.611202
2020-09-17,58.133018
2020-09-18,57.108349
2020-09-21,56.753029
2020-09-22,57.107368
2020-09-23,56.231365
2020-09-24,56.861298
2020-09-25,57.796356
2020-09-28,57.943993
2020-09-29,57.924309
2020-09-30,58.445972
2020-10-01,59.036533
2020-10-02,59.735367
2020-10-05,60.483410
2020-10-06,60.995235
2020-10-07,61.369255
2020-10-08,62.491325
2020-10-09,62.481480
2020-10-12,62.875191
2020-10-13,62.442108
2020-10-14,62.363369
2020-10-15,62.323997
2020-10-16,62.993301
2020-10-19,62.461796
2020-10-20,62.835819
2020-10-21,62.668491
2020-10-22,63.554333
2020-10-23,63.731503
2020-10-26,63.711823
2020-10-27,63.662601
2020-10-28,61.812176
2020-10-29,61.979504
2020-10-30,61.398785
2020-11-02,62.747234
2020-11-03,63.652760
2020-11-04,62.698021
2020-11-05,63.259048
2020-11-06,63.121254
2020-11-09,64.292542
2020-11-10,65.217758
2020-11-11,65.463821
2020-11-12,64.410652
2020-11-13,65.050423
2020-11-16,65.709892
2020-11-17,64.420486
2020-11-18,63.160625
2020-11-19,62.530693
2020-11-20,62.540539
2020-11-23,62.550377
2020-11-24,63.219688
2020-11-25,63.387012
2020-11-27,62.757072
2020-11-30,61.851547
2020-12-01,62.284626
2020-12-02,62.698021
2020-12-03,62.048401
2020-12-04,61.428310
2020-12-07,61.772804
2020-12-08,61.585793
2020-12-09,61.477524
2020-12-10,61.162560
2020-12-11,61.260990
2020-12-14,60.946018
2020-12-15,62.146828
2020-12-16,61.428310
2020-12-17,61.841705
2020-12-18,61.310200
2020-12-21,60.567745
2020-12-22,60.448635
2020-12-23,60.329521
2020-12-24,60.756336
2020-12-28,61.024334
2020-12-29,61.014412
2020-12-30,61.322109
2020-12-31,62.235294
2021-01-04,60.667004
2021-01-05,60.657078
2021-01-06,62.165813
2021-01-07,61.351891
2021-01-08,61.868038
2021-01-11,61.292336
2021-01-12,60.964779
2021-01-13,62.155884
2021-01-14,61.917667
2021-01-15,62.523144
2021-01-19,62.284924
2021-01-20,62.652180
2021-01-21,62.284924
2021-01-22,62.374256
2021-01-25,63.624916
2021-01-26,62.989658
2021-01-27,61.292336
2021-01-28,62.026852
2021-01-29,61.689369
2021-02-01,61.987148
2021-02-02,62.493366
2021-02-03,62.294846
2021-02-04,62.781216
2021-02-05,63.118698
2021-02-08,62.632328
2021-02-09,62.721661
2021-02-10,62.969807
2021-02-11,62.612476
2021-02-12,62.155884
2021-02-16,61.461071
