date,price
2020-03-31,87.193604
2020-04-01,83.876343
2020-04-02,86.199409
2020-04-03,85.421768
2020-04-06,89.900566
2020-04-07,89.162308
2020-04-08,92.833908
2020-04-09,93.345779
2020-04-13,92.528770
2020-04-14,95.599945
2020-04-15,95.107765
2020-04-16,97.184746
2020-04-17,99.202660
2020-04-20,98.415176
2020-04-21,95.422760
2020-04-22,96.879593
2020-04-23,97.411140
2020-04-24,98.720322
2020-04-27,99.990135
2020-04-28,97.972214
2020-04-29,98.621887
2020-04-30,98.169098
2020-05-01,96.298828
2020-05-04,96.249603
2020-05-05,98.336426
2020-05-06,97.361916
2020-05-07,97.352089
2020-05-08,97.854095
2020-05-11,99.537338
2020-05-12,98.021439
2020-05-13,96.958336
2020-05-14,98.021439
2020-05-15,98.848282
2020-05-18,99.665306
2020-05-19,98.464394
2020-05-20,98.582520
2020-05-21,97.854095
2020-05-22,98.060814
2020-05-26,97.883629
2020-05-27,98.897514
2020-05-28,100.186996
2020-05-29,101.397751
2020-06-01,100.393707
2020-06-02,100.974480
2020-06-03,100.777611
2020-06-04,99.980278
2020-06-05,101.594620
2020-06-08,102.293518
2020-06-09,101.230415
2020-06-10,101.072914
2020-06-11,95.452278
2020-06-12,96.072426
2020-06-15,96.288979
2020-06-16,98.661263
2020-06-17,98.562820
2020-06-18,98.228157
2020-06-19,99.173119
2020-06-22,98.792549
2020-06-23,99.217606
2020-06-24,96.627686
2020-06-25,97.576668
2020-06-26,96.390442
2020-06-29,97.260338
2020-06-30,98.921051
2020-07-01,99.682205
2020-07-02,100.433479
2020-07-06,101.451653
2020-07-07,100.571869
2020-07-08,100.581764
2020-07-09,99.790939
2020-07-10,99.553696
2020-07-13,100.117157
2020-07-14,102.104080
2020-07-15,103.428696
2020-07-16,103.260643
2020-07-17,104.674232
2020-07-20,104.654457
2020-07-21,104.585266
2020-07-22,105.524353
2020-07-23,105.049866
2020-07-24,103.893295
2020-07-27,104.674232
2020-07-28,104.555603
2020-07-29,105.652863
2020-07-30,104.921356
2020-07-31,104.318367
2020-08-03,105.395851
2020-08-04,104.931244
2020-08-05,105.415627
2020-08-06,104.852158
2020-08-07,105.188263
2020-08-10,104.832397
2020-08-11,104.170082
2020-08-12,105.919762
2020-08-13,105.781364
2020-08-14,105.573784
2020-08-17,106.196541
2020-08-18,106.166893
2020-08-19,105.820915
2020-08-20,105.484810
2020-08-21,105.593552
2020-08-24,105.109177
2020-08-25,105.820915
2020-08-26,105.692398
2020-08-27,106.522758
2020-08-28,106.759995
2020-08-31,107.017021
