date,price
2020-03-31,97.308754
2020-04-01,92.963196
2020-04-02,93.310440
2020-04-03,91.683342
2020-04-06,99.312866
2020-04-07,100.791153
2020-04-08,103.965988
2020-04-09,105.841125
2020-04-13,105.811356
2020-04-14,109.948578
2020-04-15,107.537682
2020-04-16,108.827454
2020-04-17,112.041985
2020-04-20,110.087471
2020-04-21,107.230118
2020-04-22,109.541801
2020-04-23,109.512024
2020-04-24,111.367332
2020-04-27,113.450813
2020-04-28,113.897278
2020-04-29,116.407379
2020-04-30,115.683113
2020-05-01,111.357399
2020-05-04,111.962608
2020-05-05,112.369385
2020-05-06,112.349541
2020-05-07,114.115540
2020-05-08,116.337936
2020-05-11,116.079979
2020-05-12,113.540108
2020-05-13,111.585594
2020-05-14,113.252388
2020-05-15,114.571938
2020-05-18,118.907555
2020-05-19,118.480949
2020-05-20,120.028687
2020-05-21,120.455299
2020-05-22,120.276711
2020-05-26,122.181610
2020-05-27,124.275032
2020-05-28,122.766983
2020-05-29,123.213440
2020-06-01,124.384163
2020-06-02,125.445747
2020-06-03,127.816948
2020-06-04,127.172058
2020-06-05,130.217911
2020-06-08,132.202194
2020-06-09,131.170380
2020-06-10,129.940109
2020-06-11,123.134071
2020-06-12,124.354385
2020-06-15,125.535042
2020-06-16,128.174118
2020-06-17,127.836815
2020-06-18,127.370499
2020-06-19,126.378349
2020-06-22,127.677094
2020-06-23,128.681473
2020-06-24,125.847313
2020-06-25,126.016373
2020-06-26,123.062866
2020-06-29,125.399811
2020-06-30,127.000870
2020-07-01,128.283722
2020-07-02,128.790878
2020-07-06,131.843842
2020-07-07,129.775391
2020-07-08,131.157669
2020-07-09,131.008499
2020-07-10,132.569778
2020-07-13,130.889160
2020-07-14,132.191895
2020-07-15,134.081345
2020-07-16,133.723328
2020-07-17,133.096848
2020-07-20,135.224960
2020-07-21,135.433792
2020-07-22,136.597305
2020-07-23,134.548737
2020-07-24,134.787384
2020-07-27,135.622742
2020-07-28,134.280228
2020-07-29,135.642624
2020-07-30,135.533218
2020-07-31,136.239288
2020-08-03,135.950912
2020-08-04,137.044785
2020-08-05,138.715485
2020-08-06,139.391678
2020-08-07,139.600525
2020-08-10,141.271210
2020-08-11,140.992752
2020-08-12,142.862320
2020-08-13,142.802643
2020-08-14,142.792679
2020-08-17,144.632416
2020-08-18,145.527420
2020-08-19,144.841248
2020-08-20,144.622482
2020-08-21,145.368317
2020-08-24,147.575989
2020-08-25,148.063278
2020-08-26,149.525116
2020-08-27,148.719620
2020-08-28,149.694153
2020-08-31,149.256607
2020-09-01,150.817902
2020-09-02,152.906219
2020-09-03,148.053345
2020-09-04,146.342880
2020-09-08,144.423599
2020-09-09,147.148376
2020-09-10,145.040176
2020-09-11,145.258942
2020-09-14,146.800323
2020-09-15,148.003616
2020-09-16,147.178207
2020-09-17,145.109756
2020-09-18,143.091034
2020-09-21,141.024155
2020-09-22,144.003891
2020-09-23,141.642029
2020-09-24,141.582230
2020-09-25,143.425873
2020-09-28,146.425537
2020-09-29,145.289459
2020-09-30,146.475372
2020-10-01,148.388794
2020-10-02,147.760956
2020-10-05,149.714218
2020-10-06,146.943756
2020-10-07,150.302200
2020-10-08,151.288788
2020-10-09,152.863373
2020-10-12,154.896362
2020-10-13,154.866470
2020-10-14,153.152374
2020-10-15,153.720413
2020-10-16,152.325226
2020-10-19,150.451675
2020-10-20,151.657516
2020-10-21,150.830383
2020-10-22,151.139313
2020-10-23,152.464737
2020-10-26,149.534836
2020-10-27,149.465073
2020-10-28,144.741364
2020-10-29,145.658188
2020-10-30,142.479141
2020-11-02,143.495651
2020-11-03,146.654755
2020-11-04,149.774002
2020-11-05,152.693954
2020-11-06,152.235519
2020-11-09,151.737244
2020-11-10,151.199097
2020-11-11,152.524536
2020-11-12,150.481567
2020-11-13,152.923172
2020-11-16,154.926270
2020-11-17,154.268524
2020-11-18,153.212173
2020-11-19,153.969559
2020-11-20,153.162354
2020-11-23,154.846542
2020-11-24,157.148605
2020-11-25,157.337952
2020-11-27,157.676788
2020-11-30,156.720078
2020-12-01,157.886063
2020-12-02,156.899475
2020-12-03,157.337952
2020-12-04,157.487442
2020-12-07,157.128677
2020-12-08,156.799805
2020-12-09,156.650330
2020-12-10,156.510803
2020-12-11,155.763382
2020-12-14,155.992584
2020-12-15,158.095337
2020-12-16,159.131775
2020-12-17,160.218048
2020-12-18,159.440720
2020-12-21,157.639572
2020-12-22,156.960663
2020-12-23,157.300110
2020-12-24,157.629593
2020-12-28,159.426727
2020-12-29,159.476654
2020-12-30,160.435135
2020-12-31,160.524994
2021-01-04,159.167145
2021-01-05,160.355255
2021-01-06,161.992661
2021-01-07,165.117706
2021-01-08,168.522278
2021-01-11,165.377274
2021-01-12,167.903275
2021-01-13,167.893295
2021-01-14,166.824982
2021-01-15,165.537033
2021-01-19,166.475540
2021-01-20,169.620544
2021-01-21,170.409286
2021-01-22,169.830215
2021-01-25,170.459198
2021-01-26,170.349380
2021-01-27,165.097733
2021-01-28,165.616913
2021-01-29,161.753036
2021-02-01,165.956360
2021-02-02,169.480759
2021-02-03,168.532272
2021-02-04,170.329422
2021-02-05,171.956818
2021-02-08,172.935287
2021-02-09,171.976791
2021-02-10,170.279495
2021-02-11,169.810242
2021-02-12,170.049866
2021-02-16,169.311035
2021-02-17,170.289474
2021-02-18,170.339401
2021-02-19,169.350967
2021-02-22,165.776642
2021-02-23,164.688370
2021-02-24,166.415619
2021-02-25,160.225464
2021-02-26,160.894394
2021-03-01,164.668396
2021-03-02,162.771423
2021-03-03,158.947495
2021-03-04,155.582840
2021-03-05,156.571274
2021-03-08,156.760971
2021-03-09,162.681564
2021-03-10,163.510254
2021-03-11,166.016266
2021-03-12,166.505493
2021-03-15,168.741928
2021-03-16,166.994705
2021-03-17,169.340988
2021-03-18,165.197571
2021-03-19,166.185989
2021-03-22,167.279999
2021-03-23,165.710007
2021-03-24,163.259995
2021-03-25,164.690002
2021-03-26,166.059998
2021-03-29,165.149994
2021-03-30,166.770004
